CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents
"04/27/2018,22:30:00,4E,800 E PATAPSCO AVE,COMMON ASSAULT,O,OTHER,913,SOUTHERN,Brooklyn,-76.59836,39.23506,""(39.235060000000, -76.598360000000)"",STREET,1"
"04/27/2018,22:30:00,7A,6100 CARTER AVE,AUTO THEFT,O,,424,NORTHEASTERN,Westfield,-76.54784,39.35507,""(39.355070000000, -76.547840000000)"",STREET,1"
"04/27/2018,22:15:00,4A,6500 FRANKFORD AVE,AGG. ASSAULT,I,FIREARM,441,NORTHEASTERN,Pulaski Industrial Area,-76.54065,39.31385,""(39.313850000000, -76.540650000000)"",HOTEL/MOTE,1"
"04/27/2018,22:10:00,4C,1900 CLIFTON AVE,AGG. ASSAULT,,OTHER,731,WESTERN,Mondawmin,-76.64919,39.31187,""(39.311870000000, -76.649190000000)"",,1"
"04/27/2018,22:00:00,7A,3000 RAYNER AVE,AUTO THEFT,O,,814,SOUTHWESTERN,Franklintown Road,-76.66703,39.29643,""(39.296430000000, -76.667030000000)"",STREET,1"
"04/27/2018,21:07,9S,1100 N LUZERNE AV,SHOOTING,Outside,FIREARM,323,EASTERN,Biddle Street,-76.58125,39.30411,""(39.304110000000, -76.581250000000)"",Street,1"
"04/27/2018,21:45:00,5A,900 N LUZERNE AVE,BURGLARY,,,323,EASTERN,Madison-Eastend,-76.58099,39.30117,""(39.301170000000, -76.580990000000)"",,1"
"04/27/2018,21:30:00,4B,3000 S HANOVER ST,AGG. ASSAULT,I,KNIFE,922,SOUTHERN,Middle Branch/Reedbird Pa,-76.61498,39.25137,""(39.251370000000, -76.614980000000)"",HOSP/NURS.,1"
"04/27/2018,21:30:00,5C,2900 GRINDON AVE,BURGLARY,I,,421,NORTHEASTERN,Lauraville,-76.57093,39.3424,""(39.342400000000, -76.570930000000)"",ROW/TOWNHO,1"
"04/27/2018,21:08:00,4A,BIDDLE ST & N LUZERNE AV,AGG. ASSAULT,O,FIREARM,323,EASTERN,Berea,-76.58125,39.3048,""(39.304800000000, -76.581250000000)"",STREET,1"
"04/27/2018,21:02:00,6C,3500 BOSTON ST,LARCENY,I,,233,SOUTHEASTERN,Canton Industrial Area,-76.56694,39.27705,""(39.277050000000, -76.566940000000)"",DEPARTMENT,1"
"04/27/2018,21:00:00,7A,3000 ELGIN AVE,AUTO THEFT,O,,811,SOUTHWESTERN,Walbrook,-76.66841,39.31335,""(39.313350000000, -76.668410000000)"",STREET,1"
"04/27/2018,20:40:00,6D,1200 WILLIAM ST,LARCENY FROM AUTO,O,,942,SOUTHERN,Riverside,-76.61036,39.27532,""(39.275320000000, -76.610360000000)"",PARKING LO,1"
"04/27/2018,20:39:00,4A,RD & E COLD SPRING LN,AGG. ASSAULT,O,FIREARM,524,NORTHERN,Kernewood,-76.6096,39.34616,""(39.346160000000, -76.609600000000)"",STREET,1"
"04/27/2018,20:30:00,4C,3100 WHITE AVE,AGG. ASSAULT,O,OTHER,425,NORTHEASTERN,Glenham-Belhar,-76.55682,39.35363,""(39.353630000000, -76.556820000000)"",STREET,1"
"04/27/2018,20:30:00,4C,3100 WHITE AVE,AGG. ASSAULT,O,OTHER,425,NORTHEASTERN,Glenham-Belhar,-76.55682,39.35363,""(39.353630000000, -76.556820000000)"",STREET,1"
"04/27/2018,20:20:00,3AJF,ST & E 21ST ST,ROBBERY - CARJACKING,,FIREARM,341,EASTERN,Barclay,-76.61107,39.31346,""(39.313460000000, -76.611070000000)"",,1"
"04/27/2018,20:20:00,3AJF,ST & E 21ST ST,ROBBERY - CARJACKING,,FIREARM,341,EASTERN,Barclay,-76.61107,39.31346,""(39.313460000000, -76.611070000000)"",,1"
"04/27/2018,20:15:00,6C,2800 GREENMOUNT AVE,LARCENY,I,,513,NORTHERN,Better Waverly,-76.60941,39.32264,""(39.322640000000, -76.609410000000)"",CONVENIENC,1"
"04/27/2018,20:01:00,4E,SARATOGA ST & N HOWARD ST,COMMON ASSAULT,O,OTHER,111,CENTRAL,Downtown,-76.61966,39.29289,""(39.292890000000, -76.619660000000)"",STREET,1"
"04/27/2018,19:59:00,3D,5500 SINCLAIR LN,ROBBERY - COMMERCIAL,I,,444,NORTHEASTERN,Frankford,-76.53829,39.32493,""(39.324930000000, -76.538290000000)"",SPECIALTY,1"
